Agency,Associated Prime Vendor,Budget Code,Check Amount,Contract ID,Contract Purpose,Department,Document ID,Expense Category,Fiscal year,Industry,Issue Date,M/WBE Category,Payee Name,Sub Vendor,Woman Owned Business
Administration for Children's Services,N/A,1707 (FIELD OFFICE SUPPORT SERVICES),6500,CTA106820227202102,SECOND funding amendment for AAHC,CHILD WELFARE-OTPS,20250067640-1-DSB-EFT,CHILD WELFARE SERVICES,2025,Professional Services,2024-08-08,Black American,ACCURATE COMMUNICATION INC,No,Yes
Administration for Children's Services,N/A,3703 (CHILD CARE AOTPS),5000,POD06820242024039,Psychological Safety and Community Engagement Workshop,HEADSTART/DAYCARE-OTPS,20250002188-1-DSB-AD,DAY CARE OF CHILDREN,2025,Human Services,2024-07-01,Black American,INNOVATE ACCESS CONSULTING LLC,No,Yes
Board of Elections,N/A,0201 (DEPARTMENTAL OPERATIONS),234,CT100320251400682,"ADA Ramp Installation, transportation and storage",OTHER THAN PERSONAL SERVICES,20250121473-1-DSB-EFT,PROF SERV OTHER,2025,Professional Services,2024-09-18,Non-M/WBE,UNCURTAIN INC,No,No 
Board of Elections,N/A,0201 (DEPARTMENTAL OPERATIONS),10031,CT100320251400682,"ADA Ramp Installation, transportation and storage",OTHER THAN PERSONAL SERVICES,20250079884-1-DSB-EFT,PROF SERV OTHER,2025,Professional Services,2024-08-19,Non-M/WBE,UNCURTAIN INC,No,No 
Board of Elections,N/A,0201 (DEPARTMENTAL OPERATIONS),10041,CT100320251400682,"ADA Ramp Installation, transportation and storage",OTHER THAN PERSONAL SERVICES,20250079884-1-DSB-EFT,PROF SERV OTHER,2025,Professional Services,2024-08-19,Non-M/WBE,UNCURTAIN INC,No,No 
Board of Elections,N/A,0201 (DEPARTMENTAL OPERATIONS),10051,CT100320251401802,"ADA Ramp Installation, transportation and storage",OTHER THAN PERSONAL SERVICES,20250077901-1-DSB-EFT,PROF SERV OTHER,2025,Professional Services,2024-08-15,Non-M/WBE,Jemabell LLC,No,No 
Campaign Finance Board,N/A,1004 (TECHNOLOGY),23456,CT100420221405131,Systems Business Analysis,OTHER THAN PERSONAL SERVICES,20250100948-1-DSB-EFT,PROF SERV COMPUTER SERVICES,2025,Professional Services,2024-08-30,Asian American,SPRUCE TECHNOLOGY INC,No,No 
City Council,N/A,1001 (OTPS COUNCIL MEMBERS),10031,CT110220241409886,LEASE SUBMISSION FOR COUNCIL MEMBER J. GUTIERREZ DISTRICT O,OTPS COUNCIL MEMBERS,20250148257-1-DSB-AD,RENTALS - LAND BLDGS & STRUCTS,2025,Not Classified,2024-09-16,Individuals and Others,244 UNION APTS LLC,No,No 
City Council,N/A,1001 (OTPS COUNCIL MEMBERS),12000,CT110220241409886,LEASE SUBMISSION FOR COUNCIL MEMBER J. GUTIERREZ DISTRICT O,OTPS COUNCIL MEMBERS,20250025225-1-DSB-AD,RENTALS - LAND BLDGS & STRUCTS,2025,Not Classified,2024-07-15,Individuals and Others,244 UNION APTS LLC,No,No 
City University of New York,N/A,6400 (QUEENSBOROUGH COMM COLLEGE),12000,PON1042Q0000031083,Not defined,COMMUNITY COLLEGE-OTPS,20250007797-1-DSB-AD,"MEDICAL,SURGICAL & LAB SUPPLY",2025,Unknown,2024-07-02,Non-M/WBE,DARK DRAGONS ASTRONOMY LLC,No,No 
